Instinct,Slot,Subtype,Item Text,Answer Type,Answer Options
Stress Response,SR-5,Reverse,I stay centered while others panic.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Stress Response,SR-6,All,Minutes before a presentation you find a mistake—what do you do?,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Stress Response,SR-7,Flow,Stress sparks creativity—I find solutions I wouldn’t see otherwise.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Stress Response,SR-8,Flight,My first move in a tense situation is to remove myself from it.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Stress Response,SR-9,Freeze,Rumination overrides action in high pressure.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Stress Response,SR-10,Fight,I become more assertive and energized when challenged.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Environment Response,EN-1,Seeker,Novel environments boost my energy and motivation.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Environment Response,EN-2,Stabilizer,Routine spaces help me concentrate.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Environment Response,EN-3,Sensitive,"Noise, bright lights, or clutter easily drain me.",Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Environment Response,EN-4,Adapter,"I can be productive almost anywhere—coffee shop, office, park.",Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Environment Response,EN-5,Reverse,I find it more distracting than energizing to change my workspace mid-project.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Environment Response,EN-6,All,Meeting moves to a busy café—your reaction?,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Environment Response,EN-7,Seeker,"When I travel, I gain creative momentum.",Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Environment Response,EN-8,Sensitive,"I notice subtle shifts in temperature, lighting, or background noise more than most people.",Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Environment Response,EN-9,Stabilizer,Having a standard desk setup and routine keeps me from wasting mental energy.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Environment Response,EN-10,Adapter,"If my surroundings change, I adapt without missing a beat.",Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Time Orientation,TO-1,Past,I often replay past events to understand what went right or wrong.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Time Orientation,TO-2,Present,The current moment has my full attention.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Time Orientation,TO-3,Future,Long-term planning energizes me.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Time Orientation,TO-4,Past,I lean on past lessons before acting.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Time Orientation,TO-5,Reverse,Dwelling on what’s already happened feels like wasted energy.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Time Orientation,TO-6,All,Surprise day off—what’s your first thought?,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Time Orientation,TO-7,Present,Enjoying today outranks chasing tomorrow.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Time Orientation,TO-8,Future,Creating detailed roadmaps keeps me motivated and on track.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Time Orientation,TO-9,Past,I often share stories from my past when connecting with others.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Time Orientation,TO-10,Present,Spontaneous opportunities beat sticking to a strict plan.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Social Instinct,SI-1,Social Energizer,I often feel more creative after spending time with other people.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Social Instinct,SI-2,Social Conserver,I need quiet time to refuel after group activities.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Social Instinct,SI-3,All,End-of-off-site evening—choose your move.,Scenario,A | B | C | D
Social Instinct,SI-4,Intimate Group,I'm most comfortable interacting with just a few people at a time.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Social Instinct,SI-5,Crowd Lover,Large events give me a surge of energy.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Social Instinct,SI-6,All,Networking event—choose your ideal setup.,Scenario,A | B | C | D
Social Instinct,SI-7,Feedback Seeker,I get uncomfortable if too long passes without input on my work.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Social Instinct,SI-8,Feedback Defender,Unsolicited critique puts me on guard.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-1,Architect,I naturally design systems or frameworks that others can reuse.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-2,Storyteller,Crafting stories or narratives is my favorite way to share ideas.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-3,Visionary,Imagining what doesn’t exist yet excites me more than perfecting what does.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-4,Artist,"I’m driven to turn emotion or beauty into tangible form—art, design, sound.",Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-5,Activator,I get a rush from motivating others into action.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-6,Connector,Building community and connecting people feels like meaningful work.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-7,Reverse Architect,Documenting processes bores me.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-8,All,Friend asks for project help—what do you jump to first?,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-9,Architect,"I often sketch diagrams, blueprints, or outlines before building anything.",Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-10,Artist,I think in sensory language.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-11,Activator,Urgency is part of my creative pitch.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
Creation Instinct,CI-12,Visionary,My notes are full of “someday” ideas.,Likert,Strongly Agree | Agree | Neutral | Disagree | Strongly Disagree
