Creation Instinct	Driver Instinct	Flowprint Label	Signature Sentence
Activator	Social	Crowd Catalyst	You weave human currents to ignite stalled teams into action, and your flow ignites when voices overlap in buzzing rooms.
Connector	Energy	Rhythm Networker	You channel burst‑mode energy to build networks that multiply value, and your flow ignites when the countdown clock starts.
Connector	Input	Relational Mapper	You sift signals into insight to build networks that multiply value, and your flow ignites when data finally lines up.
Connector	Emotional	Empathy Binder	You read hearts in real time to build networks that multiply value, and your flow ignites when feelings spark beneath the surface.
Connector	Decision	Intuitive Listener	You slice choices with surgical clarity to build networks that multiply value, and your flow ignites when options collide on the table.
Connector	Pattern	Network Interpreter	You decode hidden patterns to build networks that multiply value, and your flow ignites when connections snap into place.
Connector	Stress	Steady Anchor	You turn rising tension into momentum to build networks that multiply value, and your flow ignites when pressure climbs for everyone else.
Connector	Environment	Atmosphere Host	You absorb the atmosphere around you to build networks that multiply value, and your flow ignites when the vibe shifts mid‑room.
Connector	Time	Bridge Keeper	You project tomorrow onto today to build networks that multiply value, and your flow ignites when future stakes come into focus.
Connector	Social	Sphere Connector	You weave human currents to build networks that multiply value, and your flow ignites when voices overlap in buzzing rooms.
